2020-04-01 17:02:28 = INFO - [settings.py] BASE_DIR set to /home/ryan/Desktop/SFU/CSSS_Site/csss-site/csss-site/src
2020-04-01 17:02:28 = INFO - [settings.py] DEBUG set to True
2020-04-01 17:02:28 = INFO - [settings.py] HOST_ADDRESS set to *
2020-04-01 17:02:28 = INFO - [settings.py] ALLOWED_HOSTS set to ['*']
2020-04-01 17:02:28 = INFO - [settings.py] ROOT_DIR set to /home/ryan/Desktop/SFU/CSSS_Site/csss-site
2020-04-01 17:02:28 = INFO - [settings.py] STATIC_URL set to /STATIC_URL/
2020-04-01 17:02:28 = INFO - [settings.py] STATIC_ROOT set to /home/ryan/Desktop/SFU/CSSS_Site/csss-site/csss-site/src/static_root/
2020-04-01 17:02:28 = INFO - [settings.py] MEDIA_URL set to /MEDIA_URL/
2020-04-01 17:02:28 = INFO - [settings.py] MEDIA_ROOT set to /home/ryan/Desktop/SFU/CSSS_Site/csss-site/csss-site/src/media_root/
2020-04-01 17:02:28 = INFO - [settings.py] FILE_FORM_MASTER_DIR set to form_uploads/form_uploads/
2020-04-01 17:02:28 = INFO - [settings.py] FILE_FORM_UPLOAD_DIR set to form_uploads/form_uploads/temporary_files/
2020-04-01 17:02:28 = INFO - [settings.py] DJANGO_MAILBOX_ATTACHMENT_UPLOAD_TO set to mailbox_attachments/%Y/%m/%d/
2020-04-01 17:02:28 = WARNING - Watching for file changes with StatReloader

2020-04-01 17:02:28 = INFO - Performing system checks...


2020-04-01 17:02:28 = INFO - System check identified no issues (0 silenced).

2020-04-01 17:02:28 = INFO - April 01, 2020 - 17:02:28

2020-04-01 17:02:28 = INFO - Django version 2.2.10, using settings 'csss.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CONTROL-C.

2020-04-01 17:07:12 = WARNING - [01/Apr/2020 17:07:12] "GET /admin/jsi18n/ HTTP/1.1" 200 3223

2020-04-01 17:07:21 = WARNING - [01/Apr/2020 17:07:21] "POST /admin/documents/media/?o=3 HTTP/1.1" 200 3988

2020-04-01 17:07:21 = WARNING - [01/Apr/2020 17:07:21] "GET /STATIC_URL/admin/js/cancel.js HTTP/1.1" 200 409

2020-04-01 17:07:23 = WARNING - [01/Apr/2020 17:07:23] "POST /admin/documents/media/?o=3 HTTP/1.1" 302 0

2020-04-01 17:07:23 = WARNING - [01/Apr/2020 17:07:23] "GET /admin/documents/media/?o=3 HTTP/1.1" 200 3370

2020-04-01 17:07:23 = WARNING - [01/Apr/2020 17:07:23] "GET /admin/jsi18n/ HTTP/1.1" 200 3223

2020-04-01 17:07:24 = WARNING - [01/Apr/2020 17:07:24] "GET /admin/documents/ HTTP/1.1" 200 5135

2020-04-01 17:07:26 = WARNING - [01/Apr/2020 17:07:26] "GET /admin/documents/event/ HTTP/1.1" 200 4673

2020-04-01 17:07:26 = WARNING - [01/Apr/2020 17:07:26] "GET /admin/jsi18n/ HTTP/1.1" 200 3223

2020-04-01 17:07:28 = WARNING - [01/Apr/2020 17:07:28] "GET /admin/documents/event/Hackathons/change/ HTTP/1.1" 200 4320

2020-04-01 17:07:28 = WARNING - [01/Apr/2020 17:07:28] "GET /admin/jsi18n/ HTTP/1.1" 200 3223

2020-04-01 17:07:30 = WARNING - [01/Apr/2020 17:07:30] "GET /admin/documents/event/ HTTP/1.1" 200 4673

2020-04-01 17:07:31 = WARNING - [01/Apr/2020 17:07:31] "GET /admin/documents/ HTTP/1.1" 200 5135

2020-04-01 17:07:31 = WARNING - [01/Apr/2020 17:07:31] "GET /admin/documents/album/ HTTP/1.1" 200 3222

2020-04-01 17:07:31 = WARNING - [01/Apr/2020 17:07:31] "GET /admin/jsi18n/ HTTP/1.1" 200 3223

2020-04-01 17:07:33 = WARNING - [01/Apr/2020 17:07:33] "GET /admin/documents/ HTTP/1.1" 200 5135

2020-04-01 17:07:34 = WARNING - [01/Apr/2020 17:07:34] "GET /admin/documents/media/ HTTP/1.1" 200 3222

2020-04-01 17:07:34 = WARNING - [01/Apr/2020 17:07:34] "GET /admin/jsi18n/ HTTP/1.1" 200 3223

2020-04-01 17:07:36 = WARNING - [01/Apr/2020 17:07:36] "GET /admin/documents/ HTTP/1.1" 200 5135

2020-04-01 17:07:38 = WARNING - [01/Apr/2020 17:07:38] "GET /admin/documents/picture/ HTTP/1.1" 200 6610

2020-04-01 17:07:38 = WARNING - [01/Apr/2020 17:07:38] "GET /admin/jsi18n/ HTTP/1.1" 200 3223

2020-04-01 17:07:40 = WARNING - [01/Apr/2020 17:07:40] "GET /admin/documents/ HTTP/1.1" 200 5135

2020-04-01 17:07:41 = WARNING - [01/Apr/2020 17:07:41] "GET /admin/documents/album/ HTTP/1.1" 200 3222

2020-04-01 17:07:41 = WARNING - [01/Apr/2020 17:07:41] "GET /admin/jsi18n/ HTTP/1.1" 200 3223

2020-04-01 17:07:42 = WARNING - [01/Apr/2020 17:07:42] "GET /admin/documents/album/add/ HTTP/1.1" 200 7222

2020-04-01 17:07:42 = WARNING - [01/Apr/2020 17:07:42] "GET /admin/jsi18n/ HTTP/1.1" 200 3223

2020-04-01 17:09:17 = WARNING - [01/Apr/2020 17:09:17] "GET /documents/photo_gallery HTTP/1.1" 200 9322

2020-04-01 17:09:46 = WARNING - [01/Apr/2020 17:09:46] "GET /admin/ HTTP/1.1" 200 19142

2020-04-01 17:09:46 = WARNING - [01/Apr/2020 17:09:46] "GET /admin/ HTTP/1.1" 200 19142

2020-04-01 17:09:46 = WARNING - [01/Apr/2020 17:09:46] "GET /STATIC_URL/admin/img/icon-deletelink.svg HTTP/1.1" 200 392

2020-04-01 17:09:56 = WARNING - [01/Apr/2020 17:09:56] "GET /admin/documents/media/3/change/ HTTP/1.1" 302 0

2020-04-01 17:09:56 = WARNING - [01/Apr/2020 17:09:56] "GET /admin/ HTTP/1.1" 200 19304

2020-04-01 17:09:56 = WARNING - [01/Apr/2020 17:09:56] "GET /STATIC_URL/admin/img/icon-alert.svg HTTP/1.1" 200 504

2020-04-01 17:09:59 = WARNING - [01/Apr/2020 17:09:59] "GET /admin/documents/media/2/change/ HTTP/1.1" 302 0

2020-04-01 17:09:59 = WARNING - [01/Apr/2020 17:09:59] "GET /admin/ HTTP/1.1" 200 19304

2020-04-01 17:10:04 = WARNING - [01/Apr/2020 17:10:04] "GET /admin/documents/media/ HTTP/1.1" 200 3222

2020-04-01 17:10:04 = WARNING - [01/Apr/2020 17:10:04] "GET /admin/jsi18n/ HTTP/1.1" 200 3223

2020-04-01 17:10:05 = WARNING - [01/Apr/2020 17:10:05] "GET /admin/documents/media/add/ HTTP/1.1" 200 9425

2020-04-01 17:10:05 = WARNING - [01/Apr/2020 17:10:05] "GET /admin/jsi18n/ HTTP/1.1" 200 3223

2020-04-01 17:10:34 = WARNING - [01/Apr/2020 17:10:34] "POST /admin/documents/media/add/ HTTP/1.1" 302 0

2020-04-01 17:10:34 = WARNING - [01/Apr/2020 17:10:34] "GET /admin/documents/media/ HTTP/1.1" 200 5668

2020-04-01 17:10:34 = WARNING - [01/Apr/2020 17:10:34] "GET /admin/jsi18n/ HTTP/1.1" 200 3223

2020-04-01 17:10:36 = WARNING - [01/Apr/2020 17:10:36] "GET /admin/documents/media/5/change/ HTTP/1.1" 200 9679

2020-04-01 17:10:36 = WARNING - [01/Apr/2020 17:10:36] "GET /admin/jsi18n/ HTTP/1.1" 200 3223

2020-04-01 17:10:40 = WARNING - [01/Apr/2020 17:10:40] "GET /admin/documents/media/ HTTP/1.1" 200 5476

2020-04-01 17:10:45 = WARNING - [01/Apr/2020 17:10:45] "GET /admin/documents/ HTTP/1.1" 200 5135

