Date	Q1 Answer	Q2 Answer	
2019-09-24 05:58:13 Etc/GMT	Vote for No confidence	John Wu	
2019-09-24 06:24:28 Etc/GMT	Celina Wright	John Wu	
2019-09-24 17:42:22 Etc/GMT	Vote for No confidence	Sarbjotm mann	
2019-09-24 17:46:32 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-24 20:37:55 Etc/GMT	John Sweeney	John Sweeney	
2019-09-24 20:38:22 Etc/GMT	John Sweeney	John Sweeney	
2019-09-24 21:05:45 Etc/GMT	Vote for No confidence	John Wu	
2019-09-24 21:17:38 Etc/GMT	John Sweeney	John Sweeney	
2019-09-24 23:27:40 Etc/GMT	John Sweeney	John Sweeney	
2019-09-24 23:40:13 Etc/GMT	John Sweeney	John Sweeney	
2019-09-25 04:13:51 Etc/GMT	Celina Wright	John Wu	
2019-09-25 06:25:03 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-25 06:29:23 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-25 19:08:20 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-25 19:32:58 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-26 05:29:02 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-26 06:05:37 Etc/GMT	Celina Wright	John Wu	
2019-09-26 06:58:05 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-26 22:05:00 Etc/GMT	Celina Wright	John Wu	
2019-09-27 04:23:33 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-27 05:36:49 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-27 05:41:13 Etc/GMT	John Sweeney	Sarbjotm mann	
2019-09-27 05:41:26 Etc/GMT	Vote for No confidence	John Wu	
2019-09-27 05:45:49 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-27 05:57:46 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-27 06:02:31 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-27 06:06:05 Etc/GMT	John Sweeney	Sarbjotm mann	
2019-09-27 06:11:28 Etc/GMT	Vote for No confidence	Karan Aujia	
2019-09-27 06:11:54 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-27 06:17:51 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-27 06:19:03 Etc/GMT	John Sweeney	John Sweeney	
2019-09-27 06:45:17 Etc/GMT	Vote for No confidence	Sarbjotm mann	
2019-09-27 06:47:46 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-27 07:15:12 Etc/GMT	John Sweeney	Karan Aujia	
2019-09-27 07:19:19 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-27 08:02:55 Etc/GMT	Vote for No confidence	Vote for no confidence	
2019-09-27 08:09:07 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-27 13:44:21 Etc/GMT	Celina Wright	John Wu	
2019-09-27 14:57:43 Etc/GMT	Celina Wright	John Wu	
2019-09-27 15:09:44 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-27 17:15:28 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-27 17:42:34 Etc/GMT	John Sweeney	John Wu	
2019-09-27 18:01:51 Etc/GMT	Vote for No confidence	Vote for no confidence	
2019-09-27 18:12:45 Etc/GMT	Celina Wright	John Wu	
2019-09-27 18:20:51 Etc/GMT	Vote for No confidence	Vote for no confidence	
2019-09-27 18:43:20 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-27 20:13:05 Etc/GMT	Celina Wright	Ryan Vansickle	
2019-09-27 21:23:06 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-27 22:06:48 Etc/GMT	Celina Wright	John Wu	
2019-09-27 22:22:03 Etc/GMT	Celina Wright	Sarbjotm mann	
2019-09-27 22:57:50 Etc/GMT	Celina Wright	Karan Aujia	
2019-09-28 02:28:41 Etc/GMT	John Sweeney	Ryan Vansickle	
2019-09-28 04:18:00 Etc/GMT	Celina Wright	John Wu	
