Date,	Q1 Answer,	Q2 Answer,	Q3 Answer,	Q4 Answer,	Q5 Answer,	Q6 Answer,	Q7 Answer,	
2017-03-21 15:48:16 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 15:50:40 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 17:05:24 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-21 17:05:42 Etc/GMT,	David Miiller,	Camille Janicki,	Robert Tan,	Vote of No Confidence,	Brendan Chan,	Camille Janicki,	Vote of No Confidence,	
2017-03-21 17:08:24 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 17:08:54 Etc/GMT,	David Miiller,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-21 17:11:30 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-21 17:12:32 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2017-03-21 17:12:41 Etc/GMT,	Kasra Jamshidi,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 17:13:43 Etc/GMT,	David Miiller,	Camille Janicki,	Dustin Cao,	Vote of No Confidence,	Vote of No Confidence,	Henry Zhao,	Vote of No Confidence,	
2017-03-21 17:21:22 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 17:29:58 Etc/GMT,	David Miiller,	Jonathan Loewen,	Vote of No Confidence,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 17:31:00 Etc/GMT,	David Miiller,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 17:31:44 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 17:32:39 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-21 17:38:29 Etc/GMT,	Vote of No Confidence,	Jonathan Loewen,	Vote of No Confidence,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 17:39:08 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-21 17:46:42 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Vote of No Confidence,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-21 17:49:52 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Vote of No Confidence,	Henry Zhao,	Joshua Wu,	
2017-03-21 17:51:06 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Vote of No Confidence,	Vote of No Confidence,	Joshua Wu,	
2017-03-21 17:52:52 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Vote of No Confidence,	Joshua Wu,	
2017-03-21 17:53:01 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 17:56:02 Etc/GMT,	Kasra Jamshidi,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 18:01:32 Etc/GMT,	Vote of No Confidence,	Camille Janicki,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Camille Janicki,	Vote of No Confidence,	
2017-03-21 18:09:45 Etc/GMT,	David Miiller,	Jonathan Loewen,	Robert Tan,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 18:19:27 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	,	,	,	,	,	
2017-03-21 18:26:14 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Vote of No Confidence,	Vote of No Confidence,	Henry Zhao,	Joshua Wu,	
2017-03-21 18:34:43 Etc/GMT,	David Miiller,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 18:53:23 Etc/GMT,	Kasra Jamshidi,	Camille Janicki,	Robert Tan,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 19:32:08 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 20:07:08 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Vote of No Confidence,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 20:22:01 Etc/GMT,	Vote of No Confidence,	Camille Janicki,	Vote of No Confidence,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 21:05:56 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 21:30:32 Etc/GMT,	,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 21:44:26 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 21:52:12 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 22:14:35 Etc/GMT,	Kasra Jamshidi,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 23:08:22 Etc/GMT,	Vote of No Confidence,	Jonathan Loewen,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Henry Zhao,	Vote of No Confidence,	
2017-03-21 23:18:29 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Robert Tan,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2017-03-21 23:37:25 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Vote of No Confidence,	Henry Zhao,	Joshua Wu,	
2017-03-21 23:54:09 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-22 01:34:48 Etc/GMT,	David Miiller,	Jonathan Loewen,	Vote of No Confidence,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-22 02:08:26 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-22 02:51:47 Etc/GMT,	David Miiller,	,	,	,	,	Henry Zhao,	,	
2017-03-22 03:50:19 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Vote of No Confidence,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-22 04:27:17 Etc/GMT,	David Miiller,	Camille Janicki,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2017-03-22 04:45:49 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-22 05:35:36 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Robert Tan,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Joshua Wu,	
2017-03-22 05:51:39 Etc/GMT,	Vote of No Confidence,	,	Robert Tan,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-22 06:55:26 Etc/GMT,	David Miiller,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-22 08:17:35 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-22 09:47:18 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-22 22:29:06 Etc/GMT,	David Miiller,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2017-03-22 23:56:24 Etc/GMT,	David Miiller,	Jonathan Loewen,	Robert Tan,	Kiarash Mirsalehi,	Vote of No Confidence,	Henry Zhao,	Joshua Wu,	
2017-03-23 01:11:27 Etc/GMT,	David Miiller,	Camille Janicki,	Vote of No Confidence,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-23 01:21:53 Etc/GMT,	David Miiller,	Jonathan Loewen,	Robert Tan,	Vote of No Confidence,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-23 03:03:06 Etc/GMT,	Kasra Jamshidi,	Camille Janicki,	Robert Tan,	Vote of No Confidence,	Vote of No Confidence,	Camille Janicki,	Vote of No Confidence,	
2017-03-23 04:50:43 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-23 06:24:27 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-23 19:32:44 Etc/GMT,	Kasra Jamshidi,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-23 21:54:21 Etc/GMT,	David Miiller,	Jonathan Loewen,	Robert Tan,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-24 01:01:51 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Vote of No Confidence,	Camille Janicki,	Joshua Wu,	
2017-03-24 02:03:02 Etc/GMT,	David Miiller,	Camille Janicki,	Robert Tan,	Kiarash Mirsalehi,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-24 03:10:32 Etc/GMT,	David Miiller,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-24 05:03:51 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-24 05:31:53 Etc/GMT,	David Miiller,	Camille Janicki,	Robert Tan,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-24 08:27:36 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Henry Zhao,	Vote of No Confidence,	
2017-03-24 17:25:00 Etc/GMT,	Kasra Jamshidi,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-24 20:51:20 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-25 08:26:20 Etc/GMT,	David Miiller,	,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-25 21:22:16 Etc/GMT,	David Miiller,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-26 02:30:28 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-26 19:19:28 Etc/GMT,	Kasra Jamshidi,	Camille Janicki,	Robert Tan,	Vote of No Confidence,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-27 17:54:51 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 17:56:01 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2017-03-27 17:56:30 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Robert Tan,	Vote of No Confidence,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 17:58:34 Etc/GMT,	David Miiller,	Camille Janicki,	Vote of No Confidence,	Kiarash Mirsalehi,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-27 17:59:44 Etc/GMT,	David Miiller,	Jonathan Loewen,	Robert Tan,	Kiarash Mirsalehi,	Vote of No Confidence,	Henry Zhao,	Joshua Wu,	
2017-03-27 18:01:10 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 18:13:21 Etc/GMT,	Kasra Jamshidi,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 18:16:51 Etc/GMT,	Kasra Jamshidi,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	,	Henry Zhao,	,	
2017-03-27 18:17:28 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 18:27:45 Etc/GMT,	,	,	,	,	,	,	,	
2017-03-27 18:29:42 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 18:29:52 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 18:31:38 Etc/GMT,	David Miiller,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 18:32:34 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Vote of No Confidence,	Vote of No Confidence,	Henry Zhao,	Vote of No Confidence,	
2017-03-27 19:04:54 Etc/GMT,	David Miiller,	Camille Janicki,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Henry Zhao,	Vote of No Confidence,	
2017-03-27 19:19:40 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 19:19:49 Etc/GMT,	,	,	,	,	,	,	,	
2017-03-27 19:28:47 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2017-03-27 19:47:42 Etc/GMT,	David Miiller,	Camille Janicki,	Robert Tan,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 20:15:50 Etc/GMT,	,	,	,	,	,	,	,	
2017-03-27 20:45:21 Etc/GMT,	David Miiller,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Henry Zhao,	Vote of No Confidence,	
2017-03-27 20:47:47 Etc/GMT,	Kasra Jamshidi,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 22:13:07 Etc/GMT,	Kasra Jamshidi,	Camille Janicki,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 22:21:11 Etc/GMT,	David Miiller,	Jonathan Loewen,	Vote of No Confidence,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 23:15:36 Etc/GMT,	David Miiller,	Jonathan Loewen,	Robert Tan,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-27 23:40:44 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Camille Janicki,	Joshua Wu,	
2017-03-28 00:41:51 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-28 01:34:00 Etc/GMT,	David Miiller,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2017-03-28 02:57:31 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2017-03-28 03:22:10 Etc/GMT,	Vote of No Confidence,	Camille Janicki,	Robert Tan,	Vote of No Confidence,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-28 05:08:39 Etc/GMT,	,	,	,	,	,	,	,	
2017-03-28 06:51:29 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
