Date,	Q1 Answer,	Q2 Answer,	Q3 Answer,	Q4 Answer,	Q5 Answer,	Q6 Answer,	Q7 Answer,	
2017-03-21 06:59:23 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 07:23:52 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 07:36:58 Etc/GMT,	Kasra Jamshidi,	Camille Janicki,	Dustin Cao,	Vote of No Confidence,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 08:35:54 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 08:40:38 Etc/GMT,	David Miiller,	Jonathan Loewen,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Henry Zhao,	Joshua Wu,	
2017-03-21 09:10:47 Etc/GMT,	David Miiller,	Jonathan Loewen,	Vote of No Confidence,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 12:18:06 Etc/GMT,	Kasra Jamshidi,	Jonathan Loewen,	Vote of No Confidence,	Kiarash Mirsalehi,	Vote of No Confidence,	Henry Zhao,	Joshua Wu,	
2017-03-21 13:53:58 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 14:29:11 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 15:16:07 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
2017-03-21 15:18:32 Etc/GMT,	David Miiller,	Jonathan Loewen,	Dustin Cao,	Kiarash Mirsalehi,	Brendan Chan,	Henry Zhao,	Joshua Wu,	
