Date,	Q1 Answer,	Q2 Answer,	Q3 Answer,	Q4 Answer,	Q5 Answer,	Q6 Answer,	Q7 Answer,	
2016-03-23 07:00:52 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 07:02:57 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 07:04:03 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 07:04:32 Etc/GMT,	Bosco Noronha,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Brendan Chan,	Jonathan Loewen,	
2016-03-23 07:05:30 Etc/GMT,	,	,	,	,	,	,	,	
2016-03-23 07:09:29 Etc/GMT,	Vote of No Confidence,	David Miiller,	Vote of No Confidence,	Vote of No Confidence,	Paul Allan,	Vote of No Confidence,	Jonathan Loewen,	
2016-03-23 07:09:45 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2016-03-23 07:09:52 Etc/GMT,	Vote of No Confidence,	David Miiller,	Jordan Toering,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2016-03-23 07:10:04 Etc/GMT,	Vote of No Confidence,	David Miiller,	Vote of No Confidence,	Emre Erhan,	Paul Allan,	Vote of No Confidence,	Jonathan Loewen,	
2016-03-23 07:22:44 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 07:27:34 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 07:27:42 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 07:29:44 Etc/GMT,	James Hannah,	David Miiller,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 07:48:16 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 07:54:07 Etc/GMT,	Bosco Noronha,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 09:00:38 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 09:01:18 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 09:24:41 Etc/GMT,	Vote of No Confidence,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 10:34:34 Etc/GMT,	Bosco Noronha,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 13:35:49 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 14:07:56 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 14:08:55 Etc/GMT,	,	,	Jordan Toering,	,	Paul Allan,	,	,	
2016-03-23 15:28:08 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 15:46:54 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Farzin Ahmed,	Vote of No Confidence,	
