Date,	Q1 Answer,	Q2 Answer,	Q3 Answer,	Q4 Answer,	Q5 Answer,	Q6 Answer,	Q7 Answer,	
2016-03-23 16:27:11 Etc/GMT,	Bosco Noronha,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 16:31:44 Etc/GMT,	Bosco Noronha,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 17:26:17 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 17:59:40 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 18:43:34 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 18:46:19 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 18:54:59 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 19:00:23 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Brendan Chan,	Jonathan Loewen,	
2016-03-23 19:00:27 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 19:06:16 Etc/GMT,	,	,	,	,	,	,	,	
2016-03-23 19:39:14 Etc/GMT,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	
2016-03-23 19:43:11 Etc/GMT,	,	,	,	,	,	,	,	
2016-03-23 19:46:45 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 19:50:30 Etc/GMT,	Bosco Noronha,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	,	Jonathan Loewen,	
2016-03-23 20:40:54 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 20:58:48 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 21:35:15 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-23 21:57:52 Etc/GMT,	James Hannah,	David Miiller,	Vote of No Confidence,	Vote of No Confidence,	Eric Ly,	Farzin Ahmed,	Vote of No Confidence,	
2016-03-23 21:59:42 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-24 00:58:40 Etc/GMT,	Bosco Noronha,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-24 02:10:10 Etc/GMT,	Bosco Noronha,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Brendan Chan,	Jonathan Loewen,	
2016-03-24 02:22:00 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Brendan Chan,	Jonathan Loewen,	
2016-03-24 02:45:01 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-24 04:05:02 Etc/GMT,	Vote of No Confidence,	David Miiller,	Vote of No Confidence,	Vote of No Confidence,	,	,	,	
2016-03-24 04:21:51 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Vote of No Confidence,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-24 05:24:36 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	,	,	Farzin Ahmed,	,	
2016-03-24 07:27:29 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-24 17:56:06 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-25 00:56:33 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Brendan Chan,	Jonathan Loewen,	
2016-03-25 08:22:07 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-25 09:01:29 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-25 17:43:06 Etc/GMT,	Vote of No Confidence,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-26 04:58:22 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Farzin Ahmed,	Vote of No Confidence,	
2016-03-26 05:07:41 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Vote of No Confidence,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-26 08:49:19 Etc/GMT,	Bosco Noronha,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-27 06:18:04 Etc/GMT,	Bosco Noronha,	David Miiller,	Jordan Toering,	Emre Erhan,	Eric Ly,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-27 06:28:03 Etc/GMT,	Bosco Noronha,	David Miiller,	Jordan Toering,	Emre Erhan,	Vote of No Confidence,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-28 22:17:44 Etc/GMT,	Vote of No Confidence,	David Miiller,	Vote of No Confidence,	Emre Erhan,	Paul Allan,	Brendan Chan,	Jonathan Loewen,	
2016-03-28 22:20:35 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
2016-03-29 05:47:00 Etc/GMT,	James Hannah,	David Miiller,	Jordan Toering,	Emre Erhan,	Paul Allan,	Farzin Ahmed,	Jonathan Loewen,	
