Date,	Q1 Answer,	Q2 Answer,	Q3 Answer,	Q4 Answer,	Q5 Answer,	Q6 Answer,	Q7 Answer,	Q8 Answer,	
2019-04-10 21:25:03 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	John Sweeney,	Nikola Filipovic,	Shiva Sanei,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-10 23:30:52 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Michelle Soo,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-11 00:54:46 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-11 05:02:03 Etc/GMT,	Vote Of No Confidence,	VJ Bakhshi,	Mitchell Gale,	Vote of No Confidence,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Vote of No Confidence,	
2019-04-11 05:52:41 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Michelle Soo,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-11 21:43:59 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-11 23:24:10 Etc/GMT,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	
2019-04-12 00:22:39 Etc/GMT,	Vote Of No Confidence,	Vote of No Confidence,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-12 05:06:43 Etc/GMT,	Vote Of No Confidence,	Vote of No Confidence,	Vote Of No Confidence,	Vote of No Confidence,	John Sweeney,	Vote Of No Confidence,	Sarbjot Mann,	Vote of No Confidence,	
2019-04-12 05:52:24 Etc/GMT,	Vote Of No Confidence,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-12 06:20:29 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-12 06:30:08 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-12 06:49:12 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-12 17:35:06 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-12 18:31:59 Etc/GMT,	Vote Of No Confidence,	,	Mark Liu,	Vote of No Confidence,	Vote of No Confidence,	Shiva Sanei,	Vote Of No Confidence,	Vote of No Confidence,	
2019-04-12 18:43:15 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-12 19:56:31 Etc/GMT,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	
2019-04-12 20:21:50 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-12 20:22:20 Etc/GMT,	John Sweeney,	John Sweeney,	Mark Liu,	John Sweeney,	John Sweeney,	John Sweeney,	Sarbjot Mann,	John Sweeney,	
2019-04-12 20:26:06 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Vote Of No Confidence,	Truman Bui,	Vote of No Confidence,	Vote Of No Confidence,	Vote Of No Confidence,	Dusan kovacevic,	
2019-04-12 20:28:04 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-12 20:29:27 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-12 20:38:28 Etc/GMT,	Vote Of No Confidence,	Vote of No Confidence,	Vote Of No Confidence,	Vote of No Confidence,	Vote of No Confidence,	Vote Of No Confidence,	Vote Of No Confidence,	Vote of No Confidence,	
2019-04-12 20:40:22 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Sarbjot Mann,	Vote of No Confidence,	
2019-04-12 20:41:09 Etc/GMT,	Kia Mirsalehi,	Vote of No Confidence,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	John Sweeney,	
2019-04-12 20:41:20 Etc/GMT,	Kia Mirsalehi,	John Sweeney,	,	,	,	,	,	,	
2019-04-12 20:57:41 Etc/GMT,	Vote Of No Confidence,	Vote of No Confidence,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-12 20:59:53 Etc/GMT,	John Sweeney,	John Sweeney,	John Sweeney,	Truman Bui,	John Sweeney,	John Sweeney,	Ryan Vansickle,	John Sweeney,	
2019-04-12 21:04:43 Etc/GMT,	Vote Of No Confidence,	Vote of No Confidence,	Vote Of No Confidence,	Truman Bui,	Vote of No Confidence,	Vote Of No Confidence,	Vote Of No Confidence,	Vote of No Confidence,	
