Date,	Q1 Answer,	
2015-11-04 16:42:34 Etc/GMT,	Mircea Loan Taras,	
2015-11-04 16:42:36 Etc/GMT,	Mircea Loan Taras,	
2015-11-04 16:44:40 Etc/GMT,	James Hannah,	
2015-11-04 16:47:10 Etc/GMT,	Mircea Loan Taras,	
2015-11-04 16:47:49 Etc/GMT,	James Hannah,	
2015-11-04 16:52:25 Etc/GMT,	James Hannah,	
2015-11-04 17:11:49 Etc/GMT,	Mircea Loan Taras,	
2015-11-04 17:21:34 Etc/GMT,	Mircea Loan Taras,	
2015-11-04 17:30:09 Etc/GMT,	James Hannah,	
2015-11-04 17:35:13 Etc/GMT,	Mircea Loan Taras,	
2015-11-04 17:35:57 Etc/GMT,	Mircea Loan Taras,	
2015-11-04 17:37:44 Etc/GMT,	,	
2015-11-04 17:38:44 Etc/GMT,	James Hannah,	
2015-11-04 17:39:35 Etc/GMT,	Mircea Ioan Taras,	
2015-11-04 17:50:45 Etc/GMT,	James Hannah,	
2015-11-04 17:58:18 Etc/GMT,	James Hannah,	
2015-11-04 18:16:20 Etc/GMT,	James Hannah,	
2015-11-04 19:04:27 Etc/GMT,	Mircea Ioan Taras,	
2015-11-04 19:50:11 Etc/GMT,	Mircea Ioan Taras,	
2015-11-04 19:51:38 Etc/GMT,	Mircea Ioan Taras,	
2015-11-04 20:05:19 Etc/GMT,	Mircea Ioan Taras,	
2015-11-04 20:57:53 Etc/GMT,	Mircea Ioan Taras,	
2015-11-04 23:30:00 Etc/GMT,	Mircea Ioan Taras,	
2015-11-04 23:33:43 Etc/GMT,	Mircea Ioan Taras,	
2015-11-05 00:37:43 Etc/GMT,	James Hannah,	
2015-11-05 03:16:53 Etc/GMT,	Mircea Ioan Taras,	
2015-11-05 05:41:51 Etc/GMT,	James Hannah,	
2015-11-05 05:44:32 Etc/GMT,	James Hannah,	
2015-11-05 09:32:32 Etc/GMT,	Mircea Ioan Taras,	
2015-11-05 18:59:30 Etc/GMT,	James Hannah,	
2015-11-05 20:03:30 Etc/GMT,	James Hannah,	
2015-11-05 23:25:28 Etc/GMT,	Mircea Ioan Taras,	
2015-11-06 07:15:54 Etc/GMT,	Mircea Ioan Taras,	
2015-11-06 08:08:00 Etc/GMT,	James Hannah,	
2015-11-07 01:25:30 Etc/GMT,	James Hannah,	
2015-11-09 22:37:48 Etc/GMT,	Mircea Ioan Taras,	
2015-11-10 01:12:08 Etc/GMT,	James Hannah,	
